Date,Ticker,Open,High,Low,Close,Volume
2023-02-27,GOOG,241.62,255.97,240.69,255.45,26390126
2023-02-28,MSFT,150.19,156.14,148.73,153.72,86451190
2023-03-01,TSLA,292.37,307.32,281.79,294.09,47481490
2023-03-02,AAPL,405.64,420.19,404.04,411.52,95928513
2023-03-03,MSFT,109.65,114.89,104.48,109.9,95218685
2023-03-04,AAPL,394.77,406.57,375.06,385.17,71826028
2023-03-05,TSLA,238.1,250.77,235.85,237.85,33728076
2023-03-06,AMZN,323.94,335.82,315.95,322.5,66523659
2023-03-07,AAPL,123.93,125.69,108.63,121.15,56869540
2023-03-08,MSFT,143.44,158.41,124.24,145.09,48621351
2023-03-09,TSLA,355.32,366.63,340.89,346.43,7180170
2023-03-10,AMZN,224.97,225.58,222.35,224.89,63059315
2023-03-11,AAPL,497.4,502.43,489.8,491.48,72332270
2023-03-12,GOOG,214.7,215.49,205.38,209.68,12621032
2023-03-13,TSLA,148.22,154.25,130.56,149.98,18033963
2023-03-14,MSFT,393.35,394.25,389.19,392.18,31248195
2023-03-15,GOOG,129.49,142.21,120.37,133.79,40015940
2023-03-16,TSLA,142.08,152.99,127.41,148.99,89874043
2023-03-17,MSFT,377.95,384.66,376.06,382.65,39925223
2023-03-18,TSLA,207.45,212.92,190.37,199.67,96444925
2023-03-19,TSLA,376.09,379.95,362.29,369.42,51028749
2023-03-20,MSFT,240.19,242.92,223.24,242.14,23795688
2023-03-21,MSFT,131.07,137.61,124.98,128.7,39689399
2023-03-22,TSLA,132.63,132.69,115.52,118.66,63550545
2023-03-23,TSLA,370.9,375.93,356.87,360.01,26060991
2023-03-24,MSFT,309.52,329.23,292.31,298.94,27107890
2023-03-25,MSFT,348.68,365.32,340.24,355.82,5333218
2023-03-26,MSFT,323.83,326.09,308.44,321.3,10431384
2023-03-27,AMZN,115.55,129.0,108.29,126.23,8726034
2023-03-28,TSLA,297.5,303.4,278.4,287.15,64190692
2023-03-29,AMZN,390.03,394.2,387.87,390.02,99355420
2023-03-30,MSFT,356.37,357.0,337.61,346.49,95354112
2023-03-31,AMZN,335.79,348.16,335.32,338.75,1467019
2023-04-01,AMZN,101.25,113.68,91.36,94.52,2522492
2023-04-02,MSFT,152.73,164.41,142.15,147.47,35623666
2023-04-03,AMZN,111.15,126.27,96.61,107.86,28710828
2023-04-04,MSFT,466.34,468.84,453.51,455.5,7594188
2023-04-05,TSLA,121.65,131.84,110.64,117.7,55803127
2023-04-06,TSLA,445.43,446.89,444.46,446.72,64963401
2023-04-07,AAPL,333.41,352.45,324.07,343.12,78301104
2023-04-08,GOOG,311.72,319.47,297.43,318.83,9340500
2023-04-09,AMZN,263.65,272.08,257.12,264.25,97103561
2023-04-10,AAPL,496.78,504.66,483.82,502.22,31760184
2023-04-11,AMZN,296.29,310.25,281.32,295.17,78729069
2023-04-12,AMZN,115.63,127.47,114.63,115.64,63940204
2023-04-13,TSLA,381.47,390.09,376.76,379.48,64130912
2023-04-14,AAPL,161.27,170.68,154.38,168.61,48356994
2023-04-15,MSFT,260.24,274.43,246.1,262.75,88864475
2023-04-16,MSFT,257.67,268.85,248.8,263.56,11189654
2023-04-17,AAPL,479.29,496.36,470.85,479.59,3910428
2023-04-18,AAPL,180.94,197.05,175.35,180.38,84908804
2023-04-19,AMZN,356.49,360.28,347.2,348.1,22667991
2023-04-20,MSFT,399.37,401.79,397.23,398.25,51194113
2023-04-21,TSLA,491.36,497.85,472.24,487.14,21938525
2023-04-22,AMZN,181.29,190.88,166.27,182.8,85063000
2023-04-23,AAPL,479.17,486.34,478.5,479.48,24491853
2023-04-24,AAPL,216.7,226.94,212.63,226.83,79487087
2023-04-25,TSLA,225.45,241.71,217.12,224.73,87351933
2023-04-26,AMZN,485.56,495.97,468.98,471.6,25994256
2023-04-27,AAPL,119.44,127.56,114.54,122.94,6653948
2023-04-28,MSFT,327.14,339.54,308.42,318.63,51700232
2023-04-29,AMZN,386.2,396.7,380.36,388.44,33619361
2023-04-30,AAPL,158.12,165.37,148.68,150.83,62637995
2023-05-01,GOOG,476.77,481.14,467.4,480.19,9626077
2023-05-02,TSLA,226.79,240.25,212.16,226.0,62560305
2023-05-03,AMZN,214.66,228.71,198.41,224.71,7434604
2023-05-04,GOOG,264.77,281.61,259.16,279.02,91131101
2023-05-05,AAPL,129.56,140.88,125.06,133.82,3513356
2023-05-06,MSFT,260.34,263.0,249.78,256.01,78074036
2023-05-07,MSFT,293.92,300.71,292.47,299.98,28786586
2023-05-08,GOOG,306.3,314.05,300.89,306.38,13531093
2023-05-09,MSFT,160.68,168.51,145.0,164.81,35544723
2023-05-10,AAPL,312.59,314.32,303.42,307.48,99915734
2023-05-11,AMZN,294.6,309.28,274.94,284.68,88772651
2023-05-12,MSFT,474.9,486.29,455.43,482.43,72976247
2023-05-13,AMZN,378.93,390.19,366.66,370.24,13399160
2023-05-14,AAPL,403.88,411.95,400.09,402.53,59806094
2023-05-15,GOOG,321.13,332.84,303.55,323.37,33286925
2023-05-16,MSFT,207.7,225.97,189.52,199.63,90925884
2023-05-17,MSFT,208.97,211.28,191.14,204.53,88899015
2023-05-18,TSLA,206.33,209.47,204.2,205.66,17909706
2023-05-19,TSLA,253.56,255.61,247.85,250.8,74073515
2023-05-20,GOOG,465.11,471.62,453.15,462.08,63424924
2023-05-21,AAPL,284.32,301.64,283.94,295.2,48886764
2023-05-22,GOOG,241.67,258.33,226.56,238.45,84963262
2023-05-23,AAPL,112.2,127.3,111.91,117.47,74808582
2023-05-24,TSLA,382.03,382.54,365.24,378.01,7424614
2023-05-25,GOOG,431.35,450.19,416.6,428.12,11416950
2023-05-26,AMZN,334.17,338.26,322.39,329.21,69335085
2023-05-27,AMZN,412.77,432.13,403.82,407.64,16161635
2023-05-28,GOOG,206.67,221.44,196.49,202.47,30897598
2023-05-29,AAPL,299.18,312.48,295.76,304.41,8715966
2023-05-30,MSFT,178.41,187.96,159.32,168.08,75526345
2023-05-31,GOOG,449.02,461.81,448.01,454.63,86464784
2023-06-01,AAPL,474.94,479.9,458.61,473.76,85106532
2023-06-02,GOOG,383.95,387.49,376.0,379.22,56222021
2023-06-03,GOOG,375.28,395.06,368.7,378.94,78689667
2023-06-04,AAPL,213.01,213.08,208.79,210.17,81483477
2023-06-05,GOOG,127.42,134.6,127.08,131.17,24525615
2023-06-06,MSFT,270.17,289.6,267.17,269.24,9999947
2023-06-07,MSFT,326.91,341.89,307.31,326.47,92515672
2023-06-08,TSLA,151.01,169.52,140.28,166.41,42155270
2023-06-09,MSFT,254.4,264.85,242.98,249.63,65604481
2023-06-10,GOOG,396.61,407.47,395.41,403.93,49089734
2023-06-11,MSFT,335.53,337.39,333.53,335.91,94128302
2023-06-12,AMZN,195.06,197.08,181.7,189.39,10432049
2023-06-13,AMZN,425.07,444.88,422.9,428.39,33671719
2023-06-14,MSFT,197.29,208.97,178.08,191.29,66757538
2023-06-15,TSLA,130.01,133.15,113.92,123.06,67298241
2023-06-16,AMZN,252.05,252.35,244.69,246.97,80376133
2023-06-17,AMZN,400.29,407.78,381.03,405.48,97045486
2023-06-18,TSLA,484.95,498.47,480.36,496.14,2412838
2023-06-19,MSFT,311.94,321.9,293.76,313.99,15522546
2023-06-20,GOOG,224.79,242.23,206.11,238.65,93969492
2023-06-21,AAPL,246.12,257.22,232.78,237.11,4920252
2023-06-22,AMZN,104.25,110.03,92.26,92.79,54505249
2023-06-23,TSLA,338.04,344.95,336.05,343.36,64834083
2023-06-24,AMZN,268.28,280.46,266.23,266.3,29334752
2023-06-25,GOOG,201.47,218.76,184.94,217.92,21644392
2023-06-26,AAPL,409.25,418.28,390.22,406.11,84925958
2023-06-27,AMZN,258.2,275.33,254.88,257.06,38251187
2023-06-28,TSLA,190.23,198.7,180.17,192.57,34514643
2023-06-29,MSFT,435.15,450.9,420.72,437.14,94663886
2023-06-30,TSLA,291.07,299.2,276.96,281.6,3556477
2023-07-01,GOOG,355.44,366.47,341.43,357.62,64533794
2023-07-02,GOOG,404.39,408.47,395.87,396.23,1724143
2023-07-03,TSLA,462.26,463.71,458.31,460.77,42057483
2023-07-04,MSFT,353.87,355.61,339.53,343.08,71117884
2023-07-05,AMZN,105.73,112.04,97.53,108.37,22006778
2023-07-06,AMZN,335.28,347.18,324.51,342.52,14741892
2023-07-07,MSFT,280.14,283.25,272.64,272.65,25728252
2023-07-08,AAPL,187.09,196.85,185.9,194.83,51608889
2023-07-09,TSLA,326.49,335.2,325.96,331.71,68493105
2023-07-10,GOOG,374.43,386.79,367.39,369.54,23547925
2023-07-11,AMZN,214.13,224.24,212.1,219.38,86849351
2023-07-12,MSFT,319.01,336.67,306.52,319.81,92000684
2023-07-13,TSLA,364.93,381.58,361.58,365.99,52290327
2023-07-14,MSFT,420.17,422.7,408.33,416.85,61092456
2023-07-15,AMZN,208.07,225.08,202.3,223.93,7831079
2023-07-16,GOOG,289.5,307.35,286.85,306.23,57784293
2023-07-17,AAPL,121.28,140.93,116.86,137.7,18181601
2023-07-18,AMZN,413.91,426.28,397.13,419.8,89318727
2023-07-19,TSLA,171.2,177.61,159.47,160.97,56253880
2023-07-20,MSFT,445.47,450.26,441.11,448.81,61448020
2023-07-21,AMZN,417.09,430.9,409.1,418.28,67172728
2023-07-22,AMZN,333.33,337.79,327.32,328.63,35226652
2023-07-23,GOOG,397.71,401.65,386.17,396.88,1804829
2023-07-24,AAPL,473.78,484.07,472.56,476.73,19235288
2023-07-25,MSFT,127.39,131.24,121.73,128.21,92547285
2023-07-26,AMZN,448.41,458.6,433.02,447.59,64563624
2023-07-27,MSFT,285.32,301.52,274.46,284.5,1715175
2023-07-28,TSLA,256.09,266.75,250.36,261.86,37776134
2023-07-29,AAPL,124.9,129.59,116.7,118.4,63208653
2023-07-30,AAPL,450.33,462.75,439.47,445.43,72658506
2023-07-31,AAPL,191.88,196.8,175.35,176.85,99665651
2023-08-01,GOOG,109.51,124.35,95.2,109.87,74221253
2023-08-02,GOOG,253.93,256.01,236.96,243.88,48004936
2023-08-03,TSLA,231.33,249.29,214.17,220.06,54762306
2023-08-04,AAPL,192.21,198.91,191.07,197.52,33530120
2023-08-05,TSLA,261.91,262.26,247.04,254.54,36062474
2023-08-06,AAPL,366.73,383.53,366.29,383.39,64774462
2023-08-07,TSLA,459.32,473.78,439.63,470.39,39937570
2023-08-08,AAPL,475.79,486.08,468.6,481.65,22210394
2023-08-09,AAPL,302.62,316.29,283.19,291.92,37394237
2023-08-10,AMZN,308.37,313.94,307.11,308.13,19875074
2023-08-11,AAPL,177.22,182.06,176.54,177.28,15822913
2023-08-12,AMZN,188.34,207.82,188.18,189.79,67047669
2023-08-13,AAPL,386.91,397.29,370.66,381.96,92878234
2023-08-14,AAPL,359.72,374.88,349.68,367.74,11156762
2023-08-15,MSFT,244.03,261.86,239.4,243.59,5705678
2023-08-16,MSFT,259.58,268.24,241.61,249.51,75465735
2023-08-17,AAPL,364.96,368.51,345.26,357.99,27689442
2023-08-18,AMZN,143.81,159.58,131.57,145.97,53476669
2023-08-19,AAPL,325.6,334.39,313.17,317.91,95521428
2023-08-20,MSFT,153.36,163.95,150.01,154.42,2182744
2023-08-21,GOOG,490.05,496.67,474.8,490.71,28757741
2023-08-22,TSLA,375.54,383.5,364.99,380.86,20835356
2023-08-23,MSFT,110.9,116.7,93.53,95.5,10143768
2023-08-24,AAPL,291.5,296.8,277.29,280.67,36521638
2023-08-25,TSLA,192.71,197.64,179.99,181.61,56494410
2023-08-26,TSLA,139.19,142.86,130.41,131.08,86334955
2023-08-27,GOOG,379.15,395.51,367.93,389.41,27143406
2023-08-28,MSFT,368.6,388.29,368.54,374.75,87355143
2023-08-29,GOOG,419.85,424.61,406.1,406.29,98311683
2023-08-30,AAPL,434.12,437.83,425.3,427.33,45272493
2023-08-31,TSLA,212.89,221.39,209.09,214.14,7176547
2023-09-01,AAPL,175.68,192.04,167.17,178.52,47284689
2023-09-02,MSFT,357.39,363.82,344.19,353.84,62732025
2023-09-03,TSLA,116.33,120.05,114.03,115.7,18386165
2023-09-04,MSFT,441.28,461.16,437.23,446.0,45434797
2023-09-05,AMZN,257.35,276.55,254.47,262.82,24665342
2023-09-06,TSLA,244.24,262.62,239.27,248.43,43599449
2023-09-07,TSLA,424.82,439.13,415.46,432.87,79452628
2023-09-08,GOOG,369.76,379.46,364.84,378.82,53465080
2023-09-09,MSFT,103.68,108.58,84.57,91.84,49828438
2023-09-10,TSLA,423.74,423.87,414.19,421.19,5709339
2023-09-11,GOOG,100.8,108.66,92.88,97.15,4965447
2023-09-12,AAPL,302.69,318.66,285.55,308.79,30225410
2023-09-13,MSFT,194.14,206.26,192.81,201.09,27866912
2023-09-14,MSFT,343.34,360.93,335.75,347.96,55347358
2023-09-15,AAPL,356.76,374.08,354.65,356.47,90797407
2023-09-16,TSLA,395.01,397.3,390.93,396.9,79935715
2023-09-17,MSFT,216.2,234.99,204.76,225.95,85453734
2023-09-18,AAPL,269.05,277.4,266.54,276.86,46748442
2023-09-19,TSLA,218.89,219.08,207.72,209.34,55292820
2023-09-20,TSLA,178.38,197.06,177.7,185.84,10198765
2023-09-21,GOOG,334.01,351.08,321.96,346.65,35333680
2023-09-22,AMZN,396.19,404.22,383.15,388.58,38300636
2023-09-23,MSFT,314.0,330.4,301.99,315.8,79224114
2023-09-24,AMZN,392.53,396.41,388.09,394.23,67045547
2023-09-25,MSFT,193.09,205.63,186.2,194.69,26083906
2023-09-26,TSLA,244.79,255.11,241.53,251.61,65850402
2023-09-27,AAPL,299.62,317.82,293.81,313.85,24212199
2023-09-28,AAPL,119.38,120.89,108.63,110.22,63487595
2023-09-29,MSFT,492.84,512.59,491.83,508.54,74484363
2023-09-30,AAPL,392.32,403.6,373.7,381.36,94656619
2023-10-01,MSFT,159.49,178.47,145.29,162.17,70001845
2023-10-02,AAPL,474.22,480.46,467.64,471.3,32275184
2023-10-03,TSLA,172.38,174.8,161.09,172.17,34197987
2023-10-04,AMZN,420.8,423.58,414.42,415.09,73535619
2023-10-05,MSFT,449.31,469.02,448.29,464.86,81313964
2023-10-06,AMZN,386.48,390.44,366.84,381.13,91621253
2023-10-07,GOOG,220.04,227.35,201.64,207.84,68855167
2023-10-08,MSFT,127.06,133.97,109.53,126.32,76214051
2023-10-09,GOOG,171.41,191.32,152.11,160.0,55911008
2023-10-10,AAPL,345.55,355.12,335.24,345.47,84183263
2023-10-11,AMZN,286.89,287.47,276.11,283.48,71031312
2023-10-12,GOOG,231.77,243.56,230.84,242.57,90054619
2023-10-13,MSFT,135.04,144.23,119.31,138.17,54976141
2023-10-14,MSFT,287.14,294.13,269.17,280.91,5566491
2023-10-15,TSLA,177.52,180.35,161.54,167.13,80709628
2023-10-16,TSLA,151.33,159.89,149.57,154.74,80016338
2023-10-17,AAPL,202.04,221.08,184.29,217.72,56366348
2023-10-18,TSLA,400.36,415.66,386.8,412.36,13511427
2023-10-19,GOOG,226.51,232.95,211.61,230.94,68692346
2023-10-20,AAPL,488.28,492.4,486.75,489.53,89187076
2023-10-21,GOOG,188.58,202.6,184.3,192.24,98148753
2023-10-22,TSLA,222.97,225.64,215.72,220.59,24683156
2023-10-23,MSFT,164.15,175.85,159.43,173.75,45652565
2023-10-24,MSFT,413.94,414.55,397.06,411.69,45524129
2023-10-25,GOOG,457.23,472.1,438.51,466.9,82165483
2023-10-26,AMZN,256.81,268.75,256.73,267.61,63279411
2023-10-27,TSLA,470.66,477.03,467.27,474.16,95513235
2023-10-28,GOOG,177.81,178.69,159.11,163.34,61178101
2023-10-29,MSFT,125.81,135.42,120.16,135.01,82499571
2023-10-30,MSFT,483.14,496.56,473.28,482.32,34788207
2023-10-31,MSFT,132.21,132.48,132.03,132.4,50878979
2023-11-01,TSLA,472.99,483.92,456.49,478.89,70990518
2023-11-02,TSLA,179.08,181.18,176.71,180.34,4941671
2023-11-03,TSLA,400.8,401.81,383.97,391.63,34557178
2023-11-04,MSFT,361.96,380.01,358.39,371.53,40642934
2023-11-05,AMZN,120.71,125.4,117.04,118.26,6430663
2023-11-06,AAPL,189.64,195.74,188.09,190.25,36772500
2023-11-07,MSFT,211.46,214.93,196.58,213.39,77725617
2023-11-08,GOOG,188.28,208.02,186.21,207.03,70900824
2023-11-09,TSLA,316.99,321.19,307.03,307.47,23035950
2023-11-10,MSFT,416.93,435.42,402.68,431.01,18381258
2023-11-11,TSLA,418.96,425.0,399.2,418.75,34366208
2023-11-12,GOOG,160.71,178.64,147.72,178.17,79833167
2023-11-13,AMZN,254.96,255.51,249.39,253.74,98364661
2023-11-14,GOOG,357.14,372.99,347.16,365.19,14573846
2023-11-15,AMZN,256.8,264.16,251.31,261.07,33005462
2023-11-16,GOOG,384.5,388.25,380.95,383.13,79770010
2023-11-17,GOOG,188.73,190.5,187.23,188.93,35818317
2023-11-18,GOOG,120.84,128.41,110.9,128.34,49947210
2023-11-19,TSLA,372.78,378.39,355.15,372.24,76630196
2023-11-20,AMZN,144.52,153.73,140.92,144.1,19584882
2023-11-21,GOOG,442.05,446.82,435.96,437.49,14664071
2023-11-22,MSFT,418.48,429.35,416.76,428.51,28941580
2023-11-23,AMZN,405.56,411.78,402.79,410.21,6071095
2023-11-24,MSFT,228.58,239.42,211.19,229.43,48796047
2023-11-25,AAPL,410.27,429.98,400.0,425.19,67821482
2023-11-26,AMZN,496.16,499.23,487.03,492.99,4683015
2023-11-27,AMZN,344.72,359.6,341.53,359.06,65569013
2023-11-28,GOOG,485.67,495.56,466.38,471.13,13646820
2023-11-29,TSLA,165.29,169.3,157.35,161.06,8617232
2023-11-30,AMZN,115.73,117.87,98.9,101.47,27823669
2023-12-01,MSFT,387.35,388.13,378.98,385.36,68477801
2023-12-02,MSFT,360.79,375.69,352.85,374.7,96974342
2023-12-03,MSFT,425.98,427.32,420.06,424.21,62762980
2023-12-04,MSFT,370.16,386.46,367.07,369.63,9671114
2023-12-05,MSFT,399.04,402.76,389.98,390.23,77270981
2023-12-06,TSLA,328.92,345.79,318.67,341.4,93311038
2023-12-07,AAPL,117.23,121.96,112.03,117.16,79424400
2023-12-08,MSFT,389.66,406.85,386.08,399.66,7730087
2023-12-09,AAPL,278.2,278.31,278.15,278.23,1405464
2023-12-10,AMZN,395.18,411.93,379.6,397.79,69119211
2023-12-11,AMZN,193.74,196.39,182.94,194.79,71598096
2023-12-12,AMZN,109.43,119.34,94.36,111.74,85830547
2023-12-13,GOOG,474.63,490.58,464.12,481.49,39178159
2023-12-14,GOOG,204.09,214.83,196.96,211.73,72325236
2023-12-15,MSFT,396.06,406.99,388.97,404.32,6536493
2023-12-16,TSLA,136.77,143.45,132.52,138.12,60742142
2023-12-17,MSFT,366.39,369.88,358.46,362.6,28367192
2023-12-18,AAPL,202.8,215.13,186.03,193.29,69181808
2023-12-19,MSFT,230.69,242.12,215.89,240.67,88809638
2023-12-20,GOOG,397.98,400.67,395.5,396.95,76417643
2023-12-21,TSLA,393.1,412.87,386.89,393.47,68940376
2023-12-22,MSFT,433.99,445.21,420.98,435.75,34598995
2023-12-23,AMZN,207.32,215.13,203.55,210.25,48019317
2023-12-24,MSFT,289.54,305.34,282.1,301.73,14023264
2023-12-25,MSFT,272.48,274.13,265.2,269.08,10727120
2023-12-26,GOOG,151.49,161.27,134.71,147.77,84273167
2023-12-27,TSLA,212.11,221.64,196.64,213.16,68791391
2023-12-28,GOOG,472.32,490.25,456.98,490.23,75581946
2023-12-29,TSLA,414.31,419.59,403.49,414.76,47782233
2023-12-30,TSLA,414.13,428.83,403.05,420.1,26657305
2023-12-31,TSLA,119.6,127.92,103.32,125.43,19610547
2023-01-01,AAPL,372.41,390.71,360.33,369.18,58021678
2023-01-02,GOOG,358.66,372.85,358.48,361.79,50928711
2023-01-03,TSLA,178.15,183.02,160.59,167.35,41608854
2023-01-04,MSFT,493.91,500.28,485.04,498.23,56345003
2023-01-05,GOOG,179.13,195.66,171.5,187.84,99929670
2023-01-06,AAPL,188.62,200.08,188.58,199.32,42857106
2023-01-07,GOOG,477.8,485.56,467.68,469.81,5927461
2023-01-08,GOOG,375.83,382.92,375.45,375.98,32714189
2023-01-09,AAPL,361.11,364.74,347.48,356.97,28999237
2023-01-10,GOOG,336.81,339.18,328.41,331.01,98906751
2023-01-11,AMZN,465.15,472.11,446.84,470.68,30149363
2023-01-12,GOOG,155.76,173.23,144.79,169.87,94411540
2023-01-13,GOOG,233.86,243.82,231.37,233.95,24203503
2023-01-14,GOOG,354.78,372.62,340.47,357.82,99248449
2023-01-15,GOOG,340.54,352.12,329.14,347.25,58870507
2023-01-16,MSFT,151.72,154.91,146.18,150.73,55951468
2023-01-17,GOOG,319.19,338.95,303.38,333.76,54719912
2023-01-18,TSLA,369.28,381.68,364.45,368.17,35227255
2023-01-19,GOOG,470.68,483.7,462.97,463.05,86114677
2023-01-20,GOOG,299.59,308.59,287.94,288.0,21375963
2023-01-21,AAPL,208.05,222.05,198.67,202.73,5667288
2023-01-22,AAPL,276.79,286.92,261.29,277.43,94777674
2023-01-23,AMZN,259.91,268.44,247.64,248.19,30583963
2023-01-24,MSFT,191.63,196.5,190.28,196.18,24759273
2023-01-25,TSLA,178.72,186.59,173.41,186.3,89806475
2023-01-26,MSFT,469.75,475.99,468.22,468.64,86941669
2023-01-27,MSFT,445.21,462.45,431.16,434.93,58001481
2023-01-28,AMZN,397.12,407.39,386.61,389.53,32626156
2023-01-29,GOOG,245.59,260.79,242.15,259.25,9316585
2023-01-30,AMZN,457.21,461.45,444.81,455.17,28288390
2023-01-31,AAPL,407.07,410.63,402.5,406.51,47488542
2023-02-01,MSFT,124.53,131.0,108.62,109.62,55497821
2023-02-02,TSLA,380.99,388.64,380.45,383.54,78633032
2023-02-03,TSLA,483.68,498.36,481.96,482.72,23192542
2023-02-04,MSFT,448.87,459.41,444.4,453.56,88404712
2023-02-05,AMZN,420.29,422.26,404.52,404.93,41556143
2023-02-06,GOOG,394.07,405.86,387.25,404.93,69926480
2023-02-07,MSFT,253.48,254.49,237.67,239.07,28694526
2023-02-08,AAPL,104.18,107.29,103.83,106.57,30560480
2023-02-09,MSFT,182.2,202.01,176.14,181.6,75237917
2023-02-10,MSFT,340.28,359.34,328.62,329.34,86805735
2023-02-11,AMZN,470.37,478.21,460.13,464.57,92145872
2023-02-12,AMZN,151.98,169.19,135.25,137.8,70463420
2023-02-13,TSLA,253.85,273.1,253.31,255.83,93682217
2023-02-14,GOOG,392.67,399.13,391.5,394.32,89134954
2023-02-15,TSLA,268.78,283.4,250.47,264.76,73998534
2023-02-16,AMZN,174.92,180.08,171.97,173.47,55866661
2023-02-17,GOOG,207.93,222.73,199.27,215.37,23083917
2023-02-18,AAPL,198.62,209.53,191.58,193.45,77242509
2023-02-19,TSLA,188.63,203.82,173.11,174.61,31481863
2023-02-20,MSFT,385.21,396.79,373.48,386.69,15142180
2023-02-21,MSFT,198.68,216.87,182.59,209.63,25109736
2023-02-22,AAPL,254.28,271.48,249.6,250.22,4966862
2023-02-23,AMZN,433.84,439.37,426.09,439.17,68823267
2023-02-24,AAPL,432.39,451.81,415.1,448.3,39172393
2023-02-25,TSLA,392.86,398.23,380.08,386.54,18482427
2023-02-26,TSLA,116.98,133.68,99.71,112.39,89530633
2023-02-27,AMZN,493.19,501.18,479.46,495.95,2827812
2023-02-28,MSFT,180.32,187.31,175.38,181.92,2690146
2023-03-01,GOOG,245.91,259.54,234.69,246.8,79994663
2023-03-02,AMZN,356.7,367.28,341.37,357.0,18843023
2023-03-03,TSLA,360.12,379.51,359.65,367.29,68605024
2023-03-04,GOOG,379.51,387.7,362.67,374.0,61451839
2023-03-05,GOOG,476.15,477.3,467.59,469.87,1539534
2023-03-06,AAPL,193.98,212.45,191.81,199.72,64787095
2023-03-07,GOOG,494.84,502.26,479.22,490.36,33562677
2023-03-08,GOOG,454.73,458.69,435.18,456.56,35153407
2023-03-09,TSLA,405.9,410.35,398.06,405.01,88374798
2023-03-10,TSLA,190.0,202.77,185.57,187.06,19194339
2023-03-11,TSLA,385.28,391.91,367.46,374.11,64291532
2023-03-12,TSLA,188.89,197.26,180.38,193.11,53940915
